gameweek,team,opponent,is_home
1,Arsenal,Wolves,True
1,Aston Villa,West Ham,False
1,Bournemouth,Nott'm Forest,False
1,Brentford,Crystal Palace,True
1,Brighton,Everton,False
1,Chelsea,Man City,True
1,Crystal Palace,Brentford,False
1,Everton,Brighton,True
1,Fulham,Man Utd,False
1,Ipswich,Liverpool,True
1,Leicester,Spurs,True
1,Liverpool,Ipswich,False
1,Man City,Chelsea,False
1,Man Utd,Fulham,True
1,Newcastle,Southampton,True
1,Nott'm Forest,Bournemouth,True
1,Southampton,Newcastle,False
1,Spurs,Leicester,False
1,West Ham,Aston Villa,True
1,Wolves,Arsenal,False
2,Arsenal,Aston Villa,False
2,Aston Villa,Arsenal,True
2,Bournemouth,Newcastle,True
2,Brentford,Liverpool,False
2,Brighton,Man Utd,True
2,Chelsea,Wolves,False
2,Crystal Palace,West Ham,True
2,Everton,Spurs,False
2,Fulham,Leicester,True
2,Ipswich,Man City,False
2,Leicester,Fulham,False
2,Liverpool,Brentford,True
2,Man City,Ipswich,True
2,Man Utd,Brighton,False
2,Newcastle,Bournemouth,False
2,Nott'm Forest,Southampton,False
2,Southampton,Nott'm Forest,True
2,Spurs,Everton,True
2,West Ham,Crystal Palace,False
2,Wolves,Chelsea,True
3,Arsenal,Brighton,True
3,Aston Villa,Leicester,False
3,Bournemouth,Everton,False
3,Brentford,Southampton,True
3,Brighton,Arsenal,False
3,Chelsea,Crystal Palace,True
3,Crystal Palace,Chelsea,False
3,Everton,Bournemouth,True
3,Fulham,Ipswich,False
3,Ipswich,Fulham,True
3,Leicester,Aston Villa,True
3,Liverpool,Man Utd,False
3,Man City,West Ham,False
3,Man Utd,Liverpool,True
3,Newcastle,Spurs,True
3,Nott'm Forest,Wolves,True
3,Southampton,Brentford,False
3,Spurs,Newcastle,False
3,West Ham,Man City,True
3,Wolves,Nott'm Forest,False
4,Arsenal,Spurs,False
4,Aston Villa,Everton,True
4,Bournemouth,Chelsea,True
4,Brentford,Man City,False
4,Brighton,Ipswich,True
4,Chelsea,Bournemouth,False
4,Crystal Palace,Leicester,True
4,Everton,Aston Villa,False
4,Fulham,West Ham,True
4,Ipswich,Brighton,False
4,Leicester,Crystal Palace,False
4,Liverpool,Nott'm Forest,True
4,Man City,Brentford,True
4,Man Utd,Southampton,False
4,Newcastle,Wolves,False
4,Nott'm Forest,Liverpool,False
4,Southampton,Man Utd,True
4,Spurs,Arsenal,True
4,West Ham,Fulham,False
4,Wolves,Newcastle,True
5,Arsenal,Man City,False
5,Aston Villa,Wolves,True
5,Bournemouth,Liverpool,False
5,Brentford,Spurs,False
5,Brighton,Nott'm Forest,True
5,Chelsea,West Ham,False
5,Crystal Palace,Man Utd,True
5,Everton,Leicester,False
5,Fulham,Newcastle,True
5,Ipswich,Southampton,False
5,Leicester,Everton,True
5,Liverpool,Bournemouth,True
5,Man City,Arsenal,True
5,Man Utd,Crystal Palace,False
5,Newcastle,Fulham,False
5,Nott'm Forest,Brighton,False
5,Southampton,Ipswich,True
5,Spurs,Brentford,True
5,West Ham,Chelsea,True
5,Wolves,Aston Villa,False
6,Arsenal,Leicester,True
6,Aston Villa,Ipswich,False
6,Bournemouth,Southampton,True
6,Brentford,West Ham,True
6,Brighton,Chelsea,False
6,Chelsea,Brighton,True
6,Crystal Palace,Everton,False
6,Everton,Crystal Palace,True
6,Fulham,Nott'm Forest,False
6,Ipswich,Aston Villa,True
6,Leicester,Arsenal,False
6,Liverpool,Wolves,False
6,Man City,Newcastle,False
6,Man Utd,Spurs,True
6,Newcastle,Man City,True
6,Nott'm Forest,Fulham,True
6,Southampton,Bournemouth,False
6,Spurs,Man Utd,False
6,West Ham,Brentford,False
6,Wolves,Liverpool,True
7,Arsenal,Southampton,True
7,Aston Villa,Man Utd,True
7,Bournemouth,Leicester,False
7,Brentford,Wolves,True
7,Brighton,Spurs,True
7,Chelsea,Nott'm Forest,True
7,Crystal Palace,Liverpool,True
7,Everton,Newcastle,True
7,Fulham,Man City,False
7,Ipswich,West Ham,False
7,Leicester,Bournemouth,True
7,Liverpool,Crystal Palace,False
7,Man City,Fulham,True
7,Man Utd,Aston Villa,False
7,Newcastle,Everton,False
7,Nott'm Forest,Chelsea,False
7,Southampton,Arsenal,False
7,Spurs,Brighton,False
7,West Ham,Ipswich,True
7,Wolves,Brentford,False
8,Arsenal,Bournemouth,False
8,Aston Villa,Fulham,False
8,Bournemouth,Arsenal,True
8,Brentford,Man Utd,False
8,Brighton,Newcastle,False
8,Chelsea,Liverpool,False
8,Crystal Palace,Nott'm Forest,False
8,Everton,Ipswich,False
8,Fulham,Aston Villa,True
8,Ipswich,Everton,True
8,Leicester,Southampton,False
8,Liverpool,Chelsea,True
8,Man City,Wolves,False
8,Man Utd,Brentford,True
8,Newcastle,Brighton,True
8,Nott'm Forest,Crystal Palace,True
8,Southampton,Leicester,True
8,Spurs,West Ham,True
8,West Ham,Spurs,False
8,Wolves,Man City,True
9,Arsenal,Liverpool,True
9,Aston Villa,Bournemouth,True
9,Bournemouth,Aston Villa,False
9,Brentford,Ipswich,True
9,Brighton,Wolves,True
9,Chelsea,Newcastle,True
9,Crystal Palace,Spurs,True
9,Everton,Fulham,True
9,Fulham,Everton,False
9,Ipswich,Brentford,False
9,Leicester,Nott'm Forest,True
9,Liverpool,Arsenal,False
9,Man City,Southampton,True
9,Man Utd,West Ham,False
9,Newcastle,Chelsea,False
9,Nott'm Forest,Leicester,False
9,Southampton,Man City,False
9,Spurs,Crystal Palace,False
9,West Ham,Man Utd,True
9,Wolves,Brighton,False
10,Arsenal,Newcastle,False
10,Aston Villa,Spurs,False
10,Bournemouth,Man City,True
10,Brentford,Fulham,False
10,Brighton,Liverpool,False
10,Chelsea,Man Utd,False
10,Crystal Palace,Wolves,False
10,Everton,Southampton,False
10,Fulham,Brentford,True
10,Ipswich,Leicester,True
10,Leicester,Ipswich,False
10,Liverpool,Brighton,True
10,Man City,Bournemouth,False
10,Man Utd,Chelsea,True
10,Newcastle,Arsenal,True
10,Nott'm Forest,West Ham,True
10,Southampton,Everton,True
10,Spurs,Aston Villa,True
10,West Ham,Nott'm Forest,False
10,Wolves,Crystal Palace,True
11,Arsenal,Chelsea,False
11,Aston Villa,Liverpool,False
11,Bournemouth,Brentford,False
11,Brentford,Bournemouth,True
11,Brighton,Man City,True
11,Chelsea,Arsenal,True
11,Crystal Palace,Fulham,True
11,Everton,West Ham,False
11,Fulham,Crystal Palace,False
11,Ipswich,Spurs,False
11,Leicester,Man Utd,False
11,Liverpool,Aston Villa,True
11,Man City,Brighton,False
11,Man Utd,Leicester,True
11,Newcastle,Nott'm Forest,False
11,Nott'm Forest,Newcastle,True
11,Southampton,Wolves,False
11,Spurs,Ipswich,True
11,West Ham,Everton,True
11,Wolves,Southampton,True
12,Arsenal,Nott'm Forest,True
12,Aston Villa,Crystal Palace,True
12,Bournemouth,Brighton,True
12,Brentford,Everton,False
12,Brighton,Bournemouth,False
12,Chelsea,Leicester,False
12,Crystal Palace,Aston Villa,False
12,Everton,Brentford,True
12,Fulham,Wolves,True
12,Ipswich,Man Utd,True
12,Leicester,Chelsea,True
12,Liverpool,Southampton,False
12,Man City,Spurs,True
12,Man Utd,Ipswich,False
12,Newcastle,West Ham,True
12,Nott'm Forest,Arsenal,False
12,Southampton,Liverpool,True
12,Spurs,Man City,False
12,West Ham,Newcastle,False
12,Wolves,Fulham,False
13,Arsenal,West Ham,False
13,Aston Villa,Chelsea,False
13,Bournemouth,Wolves,False
13,Brentford,Leicester,True
13,Brighton,Southampton,True
13,Chelsea,Aston Villa,True
13,Crystal Palace,Newcastle,True
13,Everton,Man Utd,False
13,Fulham,Spurs,False
13,Ipswich,Nott'm Forest,False
13,Leicester,Brentford,False
13,Liverpool,Man City,True
13,Man City,Liverpool,False
13,Man Utd,Everton,True
13,Newcastle,Crystal Palace,False
13,Nott'm Forest,Ipswich,True
13,Southampton,Brighton,False
13,Spurs,Fulham,True
13,West Ham,Arsenal,True
13,Wolves,Bournemouth,True
14,Arsenal,Man Utd,True
14,Aston Villa,Brentford,True
14,Bournemouth,Spurs,True
14,Brentford,Aston Villa,False
14,Brighton,Fulham,False
14,Chelsea,Southampton,False
14,Crystal Palace,Ipswich,False
14,Everton,Wolves,True
14,Fulham,Brighton,True
14,Ipswich,Crystal Palace,True
14,Leicester,West Ham,True
14,Liverpool,Newcastle,False
