team,att_form_home,def_form_home,att_form_away,def_form_away,att_form_home_norm,att_form_away_norm,def_form_home_norm,def_form_away_norm
Arsenal,1.0,7.33,0.67,7.33,0.5,0.250936329588015,0.7925275969431078,0.7412636780797741
Aston Villa,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Bournemouth,0.33,14.0,1.33,13.0,0.165,0.4981273408239701,0.603736201528446,0.541122484998235
Brentford,0.33,7.0,1.0,11.0,0.165,0.37453183520599254,0.801868100764223,0.6117190257677374
Brighton,1.33,16.33,2.0,13.33,0.665,0.7490636704119851,0.537786583639966,0.5294740557712672
Chelsea,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Crystal Palace,1.0,10.0,0.33,9.33,0.5,0.12359550561797754,0.7169544296631758,0.6706671373102717
Everton,1.33,14.0,0.67,10.33,0.665,0.250936329588015,0.603736201528446,0.6353688669255206
Fulham,1.67,10.33,0.33,10.33,0.835,0.12359550561797754,0.7076139258420606,0.6353688669255206
Ipswich,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Leicester,0.0,35.33,0.0,7.67,0.0,0.0,0.0,0.7292622661489587
Liverpool,2.0,3.67,2.0,18.33,1.0,0.7490636704119851,0.8961222756863855,0.3529827038475115
Man City,1.33,13.33,0.33,3.67,0.665,0.12359550561797754,0.6227002547410132,0.8704553476879633
Man Utd,1.0,9.67,1.67,10.0,0.5,0.6254681647940075,0.726294933484291,0.6470172961524885
Newcastle,2.0,20.67,1.33,6.67,1.0,0.4981273408239701,0.41494480611378426,0.7645605365337098
Nott'm Forest,1.0,2.33,2.67,28.33,0.5,1.0,0.9340503821115199,0.0
Southampton,0.33,6.33,0.67,22.33,0.165,0.250936329588015,0.8208321539767902,0.21178962230850684
Spurs,1.33,11.67,1.33,12.67,0.665,0.4981273408239701,0.6696858194169262,0.5527709142252029
West Ham,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Wolves,1.33,23.0,1.33,14.0,0.665,0.4981273408239701,0.3489951882253043,0.5058242146134839
